epoch,lifetime,reward_mean,policy_loss,value_loss,sym_loss,score_real__/full,score_fake__/full,disc_reward__/full
1,8.0,-0.003615624736994505,0.6585743665695191,0.9707995176315307,0.0,-0.006783025339245796,-0.003550875699147582,-0.003615624736994505
10,9.34375,-0.06547798961400986,-0.025528965145349504,0.2962659806013107,0.0,0.013514828350808885,-0.009775327932503488,-0.06547798961400986
20,11.84375,-0.060499854385852814,-0.020759012550115585,0.1738319993019104,0.0,0.01726027736440301,-0.009257951262407004,-0.060499854385852814
30,10.90625,-0.041610173881053925,-0.02495054602622986,0.06632449850440025,0.0,0.020408974960446358,-0.004423003201372922,-0.041610173881053925
40,9.375,-0.05381609871983528,-0.02317689321935177,0.06574884057044983,0.0,0.022193647176027297,-0.011760595301166177,-0.05381609871983528
50,9.28125,-0.06603667885065079,-0.020722282025963067,0.0458572119474411,0.0,0.024249368719756602,-0.010609406605362892,-0.06603667885065079
60,12.3125,-0.05732692778110504,-0.02531628403812647,0.03789584785699844,0.0,0.027750443294644357,-0.007979076984338463,-0.05732692778110504
70,11.40625,-0.04600261151790619,-0.019799113739281893,0.024297551065683366,0.0,0.030099815875291824,-0.013246358255855739,-0.04600261151790619
80,12.25,-0.060845933854579926,-0.021053624525666236,0.02310289181768894,0.0,0.03396052978932858,-0.01195036545395851,-0.060845933854579926
90,12.875,-0.04234330356121063,-0.026188557408750056,0.02618989795446396,0.0,0.038275064900517464,-0.008363862661644817,-0.04234330356121063
100,11.34375,-0.06883291900157928,-0.027713894471526147,0.02796856127679348,0.0,0.04283330291509628,-0.009347100742161274,-0.06883291900157928
110,11.40625,-0.0567946657538414,-0.022917320393025874,0.02240285985171795,0.0,0.0479815162718296,-0.01862837513908744,-0.0567946657538414
120,11.25,-0.055287934839725494,-0.03215490058064461,0.029753992706537245,0.0,0.05349002629518509,-0.015602522296831012,-0.055287934839725494
130,10.75,-0.06606514751911163,-0.022109971567988395,0.026731153205037116,0.0,0.057776599377393725,-0.01672086613252759,-0.06606514751911163
140,11.8125,-0.06311707198619843,-0.020882363058626653,0.024701423197984695,0.0,0.06435739509761333,-0.02138429433107376,-0.06311707198619843
150,13.84375,-0.0820138156414032,-0.031097258254885674,0.027807099744677544,0.0,0.06753235757350921,-0.023143981583416462,-0.0820138156414032
160,11.90625,-0.06660184264183044,-0.030602193623781204,0.022520212829113005,0.0,0.07270096763968467,-0.026322999410331248,-0.06660184264183044
170,12.40625,-0.0754893496632576,-0.02552676759660244,0.014945067279040814,0.0,0.07801458612084389,-0.028867049515247344,-0.0754893496632576
180,11.3125,-0.07900460064411163,-0.026628037355840205,0.03357399255037308,0.0,0.08369914591312408,-0.03352852310054004,-0.07900460064411163
190,11.0,-0.07144930958747864,-0.023253165930509568,0.021918314695358276,0.0,0.08836542963981628,-0.03604503069072962,-0.07144930958747864
200,11.6875,-0.0999424159526825,-0.029745513573288918,0.03508233092725277,0.0,0.09314052388072014,-0.037967335619032386,-0.0999424159526825
210,11.71875,-0.08628426492214203,-0.017371244728565216,0.0299212746322155,0.0,0.09768975898623466,-0.03604871556162834,-0.08628426492214203
220,12.0,-0.08564719557762146,-0.027801165729761122,0.02015892565250397,0.0,0.10264900252223015,-0.04014017134904861,-0.08564719557762146
230,11.25,-0.07890225946903229,-0.024097332172095774,0.023948346823453905,0.0,0.10744751691818237,-0.04573907442390919,-0.07890225946903229
240,12.1875,-0.11631552875041962,-0.02295921854674816,0.02168904058635235,0.0,0.11198582351207734,-0.0529355376958847,-0.11631552875041962
250,9.78125,-0.10776884108781815,-0.026873012259602546,0.02036694660782814,0.0,0.11553113460540772,-0.055200251191854476,-0.10776884108781815
260,10.46875,-0.0880824401974678,-0.023058763518929482,0.04263369366526604,0.0,0.1179280161857605,-0.052712973207235336,-0.0880824401974678
270,14.15625,-0.09369470924139023,-0.02708477433770895,0.02575422525405884,0.0,0.12310748919844627,-0.06007995121181011,-0.09369470924139023
280,9.875,-0.1073237881064415,-0.022145110182464123,0.02853598855435848,0.0,0.12669951915740968,-0.058213168382644655,-0.1073237881064415
290,10.875,-0.0883953720331192,-0.02406499972566962,0.035490553826093674,0.0,0.1310151234269142,-0.059382679685950276,-0.0883953720331192
300,12.375,-0.10858014225959778,-0.02501554265618324,0.01309687364846468,0.0,0.13376461267471312,-0.06274855397641659,-0.10858014225959778
310,13.84375,-0.12149903178215027,-0.02754993736743927,0.02132338248193264,0.0,0.13721755295991897,-0.06304002180695534,-0.12149903178215027
320,11.28125,-0.09485206007957458,-0.028053580224514006,0.02724689766764641,0.0,0.14139687418937683,-0.06479766629636288,-0.09485206007957458
330,11.6875,-0.10511904209852219,-0.02914174385368824,0.026912281662225722,0.0,0.14501120895147324,-0.066444980353117,-0.10511904209852219
340,12.21875,-0.11997649818658829,-0.02460561916232109,0.032922472804784775,0.0,0.14569140821695328,-0.06817443110048771,-0.11997649818658829
350,12.125,-0.12975317239761353,-0.02550510158762336,0.02090589739382267,0.0,0.1504824861884117,-0.0721280463039875,-0.12975317239761353
360,9.28125,-0.1029510423541069,-0.022859722003340723,0.030246328189969064,0.0,0.1535927727818489,-0.06700369194149972,-0.1029510423541069
370,12.125,-0.12147580832242966,-0.026522619277238847,0.02882537357509136,0.0,0.1558845594525337,-0.073777936398983,-0.12147580832242966
380,11.71875,-0.11064434051513672,-0.026850997284054757,0.020381781831383707,0.0,0.1583534747362137,-0.07703306525945663,-0.11064434051513672
390,10.59375,-0.11694778501987457,-0.030246230959892272,0.023976963013410568,0.0,0.16158508509397507,-0.0779254600405693,-0.11694778501987457
400,12.25,-0.13422554731369019,-0.028072986472398042,0.03650728091597557,0.0,0.16434186398983003,-0.07536269202828408,-0.13422554731369019
410,11.625,-0.10225601494312286,-0.02420955765992403,0.027887463197112085,0.0,0.16775193959474563,-0.07571524418890477,-0.10225601494312286
420,13.375,-0.1446215659379959,-0.024618883989751338,0.03865926936268806,0.0,0.1683301329612732,-0.07705133333802223,-0.1446215659379959
430,9.65625,-0.1543346345424652,-0.02578113190829754,0.044916802644729616,0.0,0.17093733996152877,-0.07960540056228638,-0.1543346345424652
440,11.5625,-0.15750369429588318,-0.029928497970104218,0.031186820566654207,0.0,0.172200246155262,-0.07601258754730225,-0.15750369429588318
450,9.375,-0.11780187487602234,-0.024254308268427848,0.028538716584444047,0.0,0.1768597111105919,-0.0747363694012165,-0.11780187487602234
460,11.71875,-0.08558060973882675,-0.028547679632902147,0.023573168739676475,0.0,0.1772286057472229,-0.07481107115745544,-0.08558060973882675
470,10.71875,-0.12245574593544006,-0.022175871208310126,0.027186138555407524,0.0,0.181122525036335,-0.07522776052355766,-0.12245574593544006
480,11.84375,-0.11130940914154053,-0.024818046763539315,0.0318898968398571,0.0,0.18416112512350083,-0.0732841096818447,-0.11130940914154053
490,10.5625,-0.08082787692546844,-0.025343126989901064,0.045713984221220014,0.0,0.18597449362277985,-0.07204376645386219,-0.08082787692546844
500,13.5625,-0.11515909433364868,-0.021405615098774432,0.047385936975479125,0.0,0.18917773067951202,-0.07430084869265556,-0.11515909433364868
510,11.875,-0.13440939784049988,-0.027062619104981422,0.029350750148296356,0.0,0.19201542288064957,-0.07539513632655144,-0.13440939784049988
520,12.0625,-0.11638809740543365,-0.02601216994225979,0.020532649382948874,0.0,0.19326431155204774,-0.07246886268258095,-0.11638809740543365
530,9.5,-0.09746670722961426,-0.02622535452246666,0.017712771147489547,0.0,0.19466380923986434,-0.07350102886557579,-0.09746670722961426
540,10.09375,-0.09492854028940201,-0.026004135981202124,0.018072937056422232,0.0,0.19687285274267197,-0.06980587467551232,-0.09492854028940201
550,11.0625,-0.11429114639759064,-0.021453883685171603,0.03600154221057892,0.0,0.19768137186765672,-0.07218813262879849,-0.11429114639759064
560,9.125,-0.11851201206445694,-0.02809122987091541,0.03504643812775612,0.0,0.20327168256044387,-0.07429710254073144,-0.11851201206445694
570,10.90625,-0.12106509506702423,-0.022968028485774995,0.04340472742915154,0.0,0.20490200072526932,-0.07190206348896026,-0.12106509506702423
580,9.9375,-0.09941370040178299,-0.0259395070374012,0.020904018729925155,0.0,0.20380517095327377,-0.07697322629392148,-0.09941370040178299
590,11.3125,-0.12648968398571014,-0.02596310619264841,0.06459705829620362,0.0,0.20854058116674423,-0.08123015016317367,-0.12648968398571014
600,12.5,-0.11834345012903214,-0.02563597299158573,0.055850230157375336,0.0,0.2083131968975067,-0.08546663224697112,-0.11834345012903214
610,10.75,-0.14536327123641968,-0.02343299239873886,0.06731107831001282,0.0,0.2112232804298401,-0.08848435878753662,-0.14536327123641968
620,13.90625,-0.1286749243736267,-0.029906895756721497,0.018867332488298416,0.0,0.21201180666685104,-0.08400747328996658,-0.1286749243736267
630,12.78125,-0.1282070279121399,-0.02445136643946171,0.04007180705666542,0.0,0.21375269442796707,-0.08363197892904281,-0.1282070279121399
640,12.90625,-0.11510754376649857,-0.02869468554854393,0.03696122094988823,0.0,0.21420665830373764,-0.08598989918828011,-0.11510754376649857
650,11.40625,-0.10780830681324005,-0.02849889565259218,0.023538431152701378,0.0,0.213174968957901,-0.09100900888442993,-0.10780830681324005
660,11.375,-0.11714169383049011,-0.022500453516840935,0.04584670141339302,0.0,0.2172023668885231,-0.08642317131161689,-0.11714169383049011
670,10.40625,-0.11536021530628204,-0.027083923667669298,0.0271504957228899,0.0,0.21544021964073182,-0.08959764987230301,-0.11536021530628204
680,11.71875,-0.13645614683628082,-0.026321543380618095,0.024312670156359673,0.0,0.22051285952329636,-0.08680730462074279,-0.13645614683628082
690,11.40625,-0.12267595529556274,-0.03067198656499386,0.052051587402820586,0.0,0.21676415354013442,-0.08496174588799477,-0.12267595529556274
700,12.28125,-0.09291296452283859,-0.02614804804325104,0.04296142309904098,0.0,0.21816466003656387,-0.08478485867381096,-0.09291296452283859
710,13.625,-0.11765812337398529,-0.030088139325380327,0.06327633187174797,0.0,0.22448359280824662,-0.08503791093826293,-0.11765812337398529
720,11.8125,-0.09263798594474792,-0.026974936574697496,0.01844458617269993,0.0,0.2229660928249359,-0.07786044925451278,-0.09263798594474792
730,9.71875,-0.09258599579334259,-0.025296664237976073,0.04112666249275208,0.0,0.22283616960048674,-0.07970642186701297,-0.09258599579334259
740,12.84375,-0.10353122651576996,-0.03492086660116911,0.05341113209724426,0.0,0.22643228769302368,-0.079664571210742,-0.10353122651576996
750,12.0,-0.10559509694576263,-0.023012378439307212,0.13128827512264252,0.0,0.22793672680854798,-0.07688327878713608,-0.10559509694576263
760,11.53125,-0.09350323677062988,-0.02513650581240654,0.04505790397524834,0.0,0.22789303213357925,-0.07339127026498318,-0.09350323677062988
770,11.6875,-0.09678903222084045,-0.03145905267447233,0.04918060377240181,0.0,0.22591157555580138,-0.07319524399936199,-0.09678903222084045
780,11.21875,-0.09967831522226334,-0.030482750758528708,0.039519090205430984,0.0,0.22990254759788514,-0.06990792863070965,-0.09967831522226334
790,11.40625,-0.10183581709861755,-0.02778567522764206,0.0401591494679451,0.0,0.23189378380775452,-0.07615385949611664,-0.10183581709861755
800,13.375,-0.0699213296175003,-0.028964129835367204,0.02924029529094696,0.0,0.2344649463891983,-0.06427290476858616,-0.0699213296175003
810,15.53125,-0.12649843096733093,-0.03294826224446297,0.0573853000998497,0.0,0.2338150769472122,-0.06535900719463825,-0.12649843096733093
820,11.1875,-0.08833692222833633,-0.024933369271457194,0.04296489655971527,0.0,0.23642582148313523,-0.06658151261508465,-0.08833692222833633
830,10.1875,-0.09908577799797058,-0.03057504091411829,0.024190189316868782,0.0,0.23512066006660462,-0.06508434154093265,-0.09908577799797058
840,14.09375,-0.08253028988838196,-0.0260875903069973,0.03470047116279602,0.0,0.23774575740098952,-0.057803818583488466,-0.08253028988838196
850,13.8125,-0.08615601807832718,-0.031118476763367653,0.08677666783332824,0.0,0.24018272161483764,-0.06295008398592472,-0.08615601807832718
860,11.96875,-0.0999847948551178,-0.029868109431117774,0.03243200220167637,0.0,0.24124496430158615,-0.06554718129336834,-0.0999847948551178
870,13.125,-0.07290886342525482,-0.024883928522467614,0.0508746050298214,0.0,0.24295898377895356,-0.051931581646204,-0.07290886342525482
880,14.1875,-0.0725909173488617,-0.03141903318464756,0.06101441904902458,0.0,0.24056213051080705,-0.052594767138361934,-0.0725909173488617
