epoch,lifetime,reward_mean,policy_loss,value_loss,sym_loss,score_real_walk/full,score_fake_walk/full,disc_reward_walk/full,task_reward_0
1,15.125,-0.08741208910942078,0.12563737332820893,0.9630987286567688,0.0,-0.0019547997508198023,0.07134347409009933,0.0703585222363472,-0.049577679485082626
10,16.6875,-0.8698574602603912,-0.03170457407832146,0.23892828226089477,0.0,-0.0007968070244209634,0.07270463556051254,0.06697383522987366,-0.04639875888824463
20,14.5,-0.9700711369514465,-0.02598717324435711,0.13986722230911255,0.0,0.0058310197200626135,0.0647252481430769,0.06130841374397278,-0.04640096798539162
30,15.5625,-0.6697317957878113,-0.02674641478806734,0.051361843943595886,0.0,0.009509949013590813,0.05367403104901314,0.04596073925495148,-0.01354878768324852
40,21.4375,-0.7866976857185364,-0.02213747575879097,0.04487032368779183,0.0,0.01630879919975996,0.04732348844408989,0.042634375393390656,-0.053162507712841034
50,12.75,-1.0870672464370728,-0.029428520053625108,0.033910255506634714,0.0,0.023158798180520534,0.03697410300374031,0.03283658251166344,-0.05752313882112503
60,15.25,-1.1836920976638794,-0.023833490163087844,0.030003910511732103,0.0,0.028271202556788923,0.025684987567365168,0.018652331084012985,-0.0437408909201622
70,14.9375,-0.9951634109020233,-0.023701280914247037,0.024272315204143524,0.0,0.03575807735323906,0.013964853808283806,0.012413842603564262,-0.05079043284058571
80,16.0,-1.0017446875572205,-0.0242756400257349,0.02194327488541603,0.0,0.042151810973882674,0.006847403314895928,0.0038791662082076073,-0.055743344128131866
90,18.0625,-0.613285630941391,-0.025084841623902322,0.030523285642266272,0.0,0.048150265216827394,-0.0012284057680517434,-0.010156150907278061,-0.04610263183712959
100,12.875,-1.2034920454025269,-0.0252095527946949,0.02047034800052643,0.0,0.0561422873288393,-0.009399904310703278,-0.010098653845489025,-0.05694402754306793
110,15.3125,-0.8198885917663574,-0.02639915831387043,0.01212120447307825,0.0,0.06295055747032166,-0.01785769360139966,-0.026678306981921196,-0.053504008799791336
120,16.625,-0.7278709411621094,-0.023143872432410718,0.01045338213443756,0.0,0.07019292339682578,-0.027658890932798386,-0.03272819519042969,-0.05810626596212387
130,15.625,-0.9225922226905823,-0.0172938771545887,0.023281290382146835,0.0,0.07748637646436692,-0.03218066543340683,-0.03590075671672821,-0.054602913558483124
140,19.0,-0.5336218476295471,-0.023809996247291566,0.016139352694153786,0.0,0.08386450707912445,-0.04177510924637318,-0.0433000884950161,-0.04984394088387489
150,16.875,-1.028117060661316,-0.029792876914143562,0.008752636145800352,0.0,0.08947743922472,-0.05160109773278236,-0.050607308745384216,-0.056748032569885254
160,17.25,-1.0372388362884521,-0.02635972648859024,0.018604030832648277,0.0,0.09493721351027488,-0.057542113959789275,-0.06509622931480408,-0.06084538996219635
170,13.3125,-1.2201956510543823,-0.026097828522324562,0.01687616538256407,0.0,0.09993639513850212,-0.06304115168750286,-0.05375415086746216,-0.047851040959358215
180,13.125,-1.1318166255950928,-0.024976579844951628,0.010274580121040345,0.0,0.10456131175160407,-0.0678144171833992,-0.0741877555847168,-0.04779686778783798
190,17.875,-1.127195119857788,-0.0216696722432971,0.027725778892636298,0.0,0.10974322855472565,-0.07692815065383911,-0.08561302721500397,-0.02296701818704605
200,21.8125,-0.6504091024398804,-0.023136055283248424,0.014979862235486507,0.0,0.11512747779488564,-0.08300007432699204,-0.08781854063272476,-0.04103360325098038
210,16.75,-0.7432794570922852,-0.02414138838648796,0.01194554939866066,0.0,0.11911733224987983,-0.09031125903129578,-0.08106639236211777,-0.04217775538563728
220,19.5,-0.755990743637085,-0.025795813649892807,0.009166941046714783,0.0,0.12496507242321968,-0.09700114503502846,-0.10333884507417679,-0.04600081592798233
230,14.8125,-1.1457968354225159,-0.030459737032651903,0.011269930377602577,0.0,0.1260599248111248,-0.09939406216144561,-0.09900127351284027,-0.05092966929078102
240,19.5625,-0.5669997930526733,-0.020908536948263647,0.010457975976169109,0.0,0.12972460091114044,-0.10541967451572418,-0.11618420481681824,-0.044864386320114136
250,14.5,-0.9546855986118317,-0.024269963055849074,0.01342527624219656,0.0,0.1341520920395851,-0.11213145703077317,-0.1107841283082962,-0.048480600118637085
260,14.875,-0.9611904323101044,-0.0260987700894475,0.015917276963591576,0.0,0.13756103664636612,-0.11913816556334496,-0.12167999148368835,-0.0506397970020771
270,19.5625,-0.6711470782756805,-0.019309870153665542,0.012849157489836217,0.0,0.14077410399913787,-0.12033985555171967,-0.12382075190544128,-0.05242195725440979
280,19.625,-0.5719245672225952,-0.02197178825736046,0.009925613738596439,0.0,0.14425993114709854,-0.12525598108768463,-0.12014663219451904,-0.052134692668914795
290,14.9375,-1.2564870119094849,-0.02568422332406044,0.006532165315002203,0.0,0.14731973111629487,-0.1324838489294052,-0.13286544382572174,-0.048931706696748734
300,20.375,-0.6841719150543213,-0.023487063124775887,0.008199886046350002,0.0,0.1498091384768486,-0.13445291966199874,-0.14806067943572998,-0.05393027141690254
310,15.875,-0.8795419037342072,-0.031059542670845985,0.012818173319101334,0.0,0.15344108641147614,-0.13846180737018585,-0.14839501678943634,-0.054562292993068695
320,20.4375,-0.5846835672855377,-0.024009082466363907,0.006349454540759325,0.0,0.15464520156383516,-0.1419931620359421,-0.14172738790512085,-0.054685935378074646
330,20.125,-0.6849401593208313,-0.024887657165527342,0.006392750330269337,0.0,0.157112717628479,-0.14792720675468446,-0.14886364340782166,-0.054212410002946854
340,19.5,-0.7803943157196045,-0.024946201220154764,0.008710192143917083,0.0,0.16055939197540284,-0.15132795572280883,-0.15835458040237427,-0.04354504495859146
350,21.25,-0.8795875906944275,-0.026666009426116945,0.018995247222483157,0.0,0.16267012506723405,-0.15523057132959367,-0.1458016037940979,-0.059195563197135925
360,18.0,-0.6863163113594055,-0.02067326381802559,0.007266226690262556,0.0,0.16608636528253556,-0.16091029196977616,-0.15725088119506836,-0.04872952401638031
370,16.625,-1.179032802581787,-0.029574032686650754,0.006998190283775329,0.0,0.16716380715370177,-0.16566257327795028,-0.1587890386581421,-0.06297460198402405
380,12.875,-1.2738654613494873,-0.024005426093935966,0.009107077121734619,0.0,0.16771603226661683,-0.17022351175546646,-0.16210417449474335,-0.05507254600524902
390,18.125,-0.5899491608142853,-0.023667559027671814,0.009243745449930429,0.0,0.17129044681787492,-0.17358628958463668,-0.15994498133659363,-0.049662016332149506
400,19.5,-0.6990357935428619,-0.025944474339485168,0.012853999808430671,0.0,0.17169821858406067,-0.17520568519830704,-0.1806257665157318,-0.05388130247592926
410,14.9375,-0.9826180040836334,-0.02549908757209778,0.006776363030076027,0.0,0.1728471741080284,-0.17788634300231934,-0.16991156339645386,-0.049156926572322845
420,19.75,-0.9940145015716553,-0.0229479999281466,0.008271646313369274,0.0,0.1754116714000702,-0.1819077104330063,-0.1965753138065338,-0.0469934344291687
430,18.125,-0.9042372405529022,-0.024065074510872364,0.012571295350790023,0.0,0.1765831768512726,-0.18241642266511918,-0.19803377985954285,-0.05736333131790161
