epoch,lifetime,reward_mean,policy_loss,value_loss,sym_loss,score_real__/full,score_fake__/full,disc_reward__/full
1,14.25,0.0038225140888243914,0.20683479607105254,0.9987152814865112,0.0,0.0072594210505485535,0.015534750185906887,0.0038225140888243914
10,11.5625,-0.02623724937438965,-0.023395781964063646,0.23403173089027404,0.0,0.011748804814285703,0.019433645738495722,-0.02623724937438965
20,10.625,-0.02547232247889042,-0.019174475222826004,0.18259210884571075,0.0,0.01462737200781703,0.01784966206178069,-0.02547232247889042
30,10.125,-0.03544144332408905,-0.021447791904211044,0.09364451617002487,0.0,0.0170653086155653,0.013826119992882014,-0.03544144332408905
40,10.875,-0.04243830591440201,-0.020221110060811044,0.06317059099674224,0.0,0.020755543559789657,0.012569080665707588,-0.04243830591440201
50,9.5,-0.04744202271103859,-0.024223677441477777,0.04113408401608467,0.0,0.023521823436021806,0.0077380219008773565,-0.04744202271103859
60,9.125,-0.04931311309337616,-0.02311698906123638,0.03968144729733467,0.0,0.02862134613096714,0.006561630452051759,-0.04931311309337616
70,14.9375,-0.03523256629705429,-0.02536879079416394,0.053270285576581956,0.0,0.03265824299305677,0.004026089364197105,-0.03523256629705429
80,11.5,-0.05237814411520958,-0.026909669302403925,0.035208101570606234,0.0,0.037006774172186854,-0.0019943605875596404,-0.05237814411520958
90,13.9375,-0.05060265213251114,-0.02779800221323967,0.030123693495988847,0.0,0.04223470538854599,-0.005793083913158625,-0.05060265213251114
100,11.9375,-0.0530712828040123,-0.024684549868106843,0.02368960455060005,0.0,0.047208637744188306,-0.008840518840588629,-0.0530712828040123
110,10.125,-0.06554785370826721,-0.023084335960447788,0.02019893527030945,0.0,0.05169507674872875,-0.013882612343877554,-0.06554785370826721
120,11.625,-0.06471599638462067,-0.02364242896437645,0.026237037032842636,0.0,0.05727327652275562,-0.01791959162801504,-0.06471599638462067
130,12.3125,-0.0632922351360321,-0.022201190143823622,0.029421332478523254,0.0,0.06287824921309948,-0.022731269523501397,-0.0632922351360321
140,12.8125,-0.06914708018302917,-0.019951395317912103,0.032130174711346625,0.0,0.0675169438123703,-0.0282562755048275,-0.06914708018302917
150,10.25,-0.07377208769321442,-0.02391902320086956,0.028616560995578764,0.0,0.07246368825435638,-0.03144739754498005,-0.07377208769321442
160,12.4375,-0.07360299676656723,-0.02333531230688095,0.027186665311455728,0.0,0.07654032483696938,-0.03510072585195303,-0.07360299676656723
170,12.0625,-0.07801292836666107,-0.026642360910773277,0.02729329504072666,0.0,0.08169983401894569,-0.0365648340433836,-0.07801292836666107
180,11.25,-0.0948677808046341,-0.02469747103750706,0.028917985409498213,0.0,0.08621066361665726,-0.04353702776134014,-0.0948677808046341
190,10.5,-0.08447999507188797,-0.02688129395246506,0.02306743562221527,0.0,0.09031856656074524,-0.04386938251554966,-0.08447999507188797
200,10.625,-0.08511824905872345,-0.027209722623229026,0.023333274573087693,0.0,0.09629516452550888,-0.0465002030134201,-0.08511824905872345
210,7.4375,-0.10425622761249542,-0.022601399198174478,0.03575810939073563,0.0,0.09992555156350136,-0.05082697868347168,-0.10425622761249542
220,12.25,-0.08864212036132812,-0.02902846522629261,0.028940992802381514,0.0,0.10501026660203934,-0.051644351705908774,-0.08864212036132812
230,13.1875,-0.06533020734786987,-0.026353729143738746,0.028878642618656157,0.0,0.10941260755062103,-0.05378360226750374,-0.06533020734786987
240,12.9375,-0.08556608855724335,-0.023231061547994612,0.029661846905946733,0.0,0.11347542405128479,-0.05799629762768745,-0.08556608855724335
250,10.3125,-0.1071520522236824,-0.019367045164108275,0.03401560820639134,0.0,0.1171428918838501,-0.061018528416752815,-0.1071520522236824
260,11.25,-0.11057865619659424,-0.02276587039232254,0.1011983260512352,0.0,0.12211396545171738,-0.06441671513020993,-0.11057865619659424
270,7.5625,-0.10819234699010849,-0.02451411113142967,0.04972026124596596,0.0,0.12486269399523735,-0.06359854936599732,-0.10819234699010849
280,11.875,-0.1105513721704483,-0.022571220621466638,0.10965587049722672,0.0,0.13041493594646453,-0.06764706522226334,-0.1105513721704483
290,10.5,-0.11016696691513062,-0.023071753792464733,0.0688556857407093,0.0,0.13291163742542267,-0.07124584540724754,-0.11016696691513062
300,12.1875,-0.10406498610973358,-0.022960799932479858,0.31580954790115356,0.0,0.13580233007669448,-0.07158951610326766,-0.10406498610973358
310,11.875,-0.11788360029459,-0.021548200771212576,0.04296246990561485,0.0,0.1381050854921341,-0.07568207383155823,-0.11788360029459
320,11.3125,-0.10515691339969635,-0.02144116833806038,0.07852229923009872,0.0,0.1418120250105858,-0.07826485186815262,-0.10515691339969635
330,12.125,-0.11128971725702286,-0.022194266319274902,0.14151523411273956,0.0,0.1432022914290428,-0.08339182436466216,-0.11128971725702286
340,12.5625,-0.11014421284198761,-0.026211627572774888,0.32038759589195254,0.0,0.14652875661849976,-0.08154379427433014,-0.11014421284198761
350,14.5,-0.11667543649673462,-0.02130397651344538,0.06770547106862068,0.0,0.14911766052246095,-0.08768844157457352,-0.11667543649673462
360,9.875,-0.11814417690038681,-0.023994429409503935,0.07684554755687714,0.0,0.14958047419786452,-0.0877645656466484,-0.11814417690038681
370,11.875,-0.12781941890716553,-0.02231787480413914,0.07027270495891572,0.0,0.15239666998386384,-0.09006042778491974,-0.12781941890716553
380,10.1875,-0.1204548329114914,-0.02960249185562134,0.06549695432186127,0.0,0.15499439984560012,-0.08960267752408982,-0.1204548329114914
390,13.3125,-0.1209627240896225,-0.024832690507173537,0.09106160998344422,0.0,0.15754108130931854,-0.09242247715592385,-0.1209627240896225
400,14.125,-0.1126558780670166,-0.027021626383066176,0.09177616685628891,0.0,0.15746552646160125,-0.09463287964463234,-0.1126558780670166
410,11.0,-0.12910887598991394,-0.02587192729115486,0.09870142787694931,0.0,0.1595737889409065,-0.08996501639485359,-0.12910887598991394
420,13.8125,-0.1379208266735077,-0.029511305317282677,0.14843621402978896,0.0,0.1617472380399704,-0.0951794758439064,-0.1379208266735077
430,13.6875,-0.11529544740915298,-0.02358158640563488,0.05722087249159813,0.0,0.16187298893928528,-0.09537709802389145,-0.11529544740915298
440,8.6875,-0.14675499498844147,-0.021448077261447908,0.045596849918365476,0.0,0.16368058770895005,-0.09603010937571525,-0.14675499498844147
450,11.3125,-0.13618478178977966,-0.023385467007756233,0.09821220636367797,0.0,0.16511088311672212,-0.09911959618330002,-0.13618478178977966
460,9.5625,-0.1441318690776825,-0.02424074448645115,0.0730608806014061,0.0,0.1670213907957077,-0.10203589424490929,-0.1441318690776825
470,9.1875,-0.13966812193393707,-0.025889226607978343,0.039350523799657824,0.0,0.1685761332511902,-0.09841958060860634,-0.13966812193393707
480,11.3125,-0.13847678899765015,-0.023544371873140336,0.0869852915406227,0.0,0.1696864679455757,-0.10429220646619797,-0.13847678899765015
490,8.0,-0.1486206352710724,-0.025124520249664783,0.05460850968956947,0.0,0.17113753408193588,-0.10372814163565636,-0.1486206352710724
500,10.875,-0.14228078722953796,-0.030063806101679802,0.08417265713214875,0.0,0.17404374480247498,-0.1046096459031105,-0.14228078722953796
510,10.5625,-0.14665964245796204,-0.025816700235009194,0.10221219062805176,0.0,0.17358001172542573,-0.10861704647541046,-0.14665964245796204
520,15.0625,-0.13014709949493408,-0.02500739097595215,0.08681807518005372,0.0,0.17652296274900436,-0.10700486525893212,-0.13014709949493408
530,11.25,-0.13013562560081482,-0.026021931692957877,0.08122315406799316,0.0,0.17749370336532594,-0.10814141631126403,-0.13013562560081482
540,7.8125,-0.15532147884368896,-0.027862429991364478,0.05150544047355652,0.0,0.1779778406023979,-0.10736088827252388,-0.15532147884368896
550,13.5,-0.13413333892822266,-0.03181107547134161,0.10123817920684815,0.0,0.1798391655087471,-0.10594324246048928,-0.13413333892822266
560,12.125,-0.1313268095254898,-0.026406563818454742,0.1299480155110359,0.0,0.18090012967586516,-0.10278207659721375,-0.1313268095254898
570,11.0,-0.12275813519954681,-0.026999666541814803,0.05452388525009155,0.0,0.18221914619207383,-0.10208431258797646,-0.12275813519954681
580,9.4375,-0.1409798562526703,-0.023843609914183616,0.06367174535989761,0.0,0.1846580371260643,-0.10252637267112732,-0.1409798562526703
