epoch,lifetime,reward_mean,policy_loss,value_loss,score_real__/full,score_fake__/full,disc_reward__/full
1,8.0,0.024930857121944427,0.8643139481544495,0.3822392523288727,0.013953978195786476,0.025645000860095024,0.024930857121944427
10,12.0625,-0.024622000753879547,-0.020667702704668046,1.225092339515686,0.01710707704640097,0.027215902797049947,-0.024622000753879547
20,12.5,-0.0210673026740551,-0.02298391181975603,0.1558045268058777,0.021208394691348074,0.021753169782459735,-0.0210673026740551
30,12.59375,-0.04053362458944321,-0.021751340478658676,0.13783635199069977,0.026208975166082383,0.01181946536526084,-0.04053362458944321
40,15.28125,-0.047791142016649246,-0.021573502197861673,0.05913442149758339,0.0312237236648798,0.003142175730317831,-0.047791142016649246
50,14.0,-0.04793550446629524,-0.0266965601593256,0.14309466779232025,0.03824770152568817,-0.011398653732612729,-0.04793550446629524
60,13.25,-0.059555865824222565,-0.023632358014583587,0.06226994171738624,0.044409080594778064,-0.02025706646963954,-0.059555865824222565
70,11.59375,-0.08121208846569061,-0.023775481060147284,0.030507998168468477,0.05064631663262844,-0.03564977198839188,-0.08121208846569061
80,11.46875,-0.08205793052911758,-0.022523314226418734,0.037698938697576526,0.056886302307248116,-0.041501015052199365,-0.08205793052911758
90,12.0,-0.10291221737861633,-0.021745169721543788,0.029681037366390228,0.06380940452218056,-0.05786192268133163,-0.10291221737861633
100,11.96875,-0.1226833164691925,-0.021716410294175148,0.024837958440184594,0.0700878418982029,-0.06958826407790183,-0.1226833164691925
110,13.375,-0.12096881121397018,-0.024313122034072876,0.01795427016913891,0.07658025696873665,-0.07795095667243004,-0.12096881121397018
120,9.96875,-0.13858939707279205,-0.02162326090037823,0.02233532890677452,0.08250172063708305,-0.09136652126908303,-0.13858939707279205
130,13.65625,-0.13688765466213226,-0.028059489838778973,0.013375128619372845,0.08804982826113701,-0.11087076812982559,-0.13688765466213226
140,13.875,-0.1563979536294937,-0.02370974123477936,0.014720437489449978,0.09515776187181473,-0.12072195187211036,-0.1563979536294937
150,11.65625,-0.16196560859680176,-0.020930425450205802,0.016596905514597894,0.0994077354669571,-0.1313938468694687,-0.16196560859680176
160,12.5,-0.183736190199852,-0.026142940670251847,0.009151620976626872,0.10531966388225555,-0.14287602603435517,-0.183736190199852
170,16.15625,-0.20079243183135986,-0.02342691719532013,0.008758678287267684,0.1091456577181816,-0.1546397551894188,-0.20079243183135986
180,14.0625,-0.19530829787254333,-0.020498311892151833,0.008405767567455768,0.11459050625562668,-0.16799718141555786,-0.19530829787254333
190,15.96875,-0.19948551058769226,-0.021177911199629307,0.006624073069542646,0.11833333745598792,-0.17728517651557923,-0.19948551058769226
200,14.96875,-0.21616268157958984,-0.02206321880221367,0.007674910686910152,0.12085349932312965,-0.1867809534072876,-0.21616268157958984
210,16.09375,-0.2155337929725647,-0.024847057089209555,0.008720239251852035,0.12710256054997443,-0.19411712735891343,-0.2155337929725647
220,12.5,-0.2270680069923401,-0.026852188631892204,0.009188318066298962,0.1287235550582409,-0.20651407688856124,-0.2270680069923401
230,11.65625,-0.2665904760360718,-0.023607583343982698,0.005900111980736256,0.13263095468282698,-0.21689735651016234,-0.2665904760360718
