epoch,lifetime,reward_mean,policy_loss,value_loss,sym_loss,score_real__/full,score_fake__/full,disc_reward__/full
1,8.0,0.01550951600074768,0.32208366990089415,0.6802947163581848,0.0,-0.0008797789923846722,0.015608756802976131,0.01550951600074768
10,11.03125,-0.027212418615818024,-0.01888076737523079,0.6073130369186401,0.0,-9.171276663740476e-05,0.020399774114290874,-0.027212418615818024
20,9.5,-0.05228466913104057,-0.019635298009961843,0.36444514989852905,0.0,0.0024985700845718386,0.016886971052736045,-0.05228466913104057
30,8.8125,-0.057113103568553925,-0.024594254419207574,0.07197689265012741,0.0,0.004517825064249336,0.014403837639838457,-0.057113103568553925
40,10.09375,-0.06129199266433716,-0.02653561681509018,0.07898023724555969,0.0,0.00891248877160251,0.01254880502820015,-0.06129199266433716
50,8.78125,-0.05528479442000389,-0.022169962525367737,0.036746317893266676,0.0,0.012646199949085713,0.006590167828835547,-0.05528479442000389
60,7.90625,-0.06810228526592255,-0.022451222874224186,0.03212270587682724,0.0,0.016627700347453356,0.004497276712208986,-0.06810228526592255
70,9.78125,-0.06152907386422157,-0.023087265715003014,0.038597531616687775,0.0,0.021506240591406822,0.0016439220635220408,-0.06152907386422157
80,6.71875,-0.08502022922039032,-0.02188156433403492,0.027943286299705505,0.0,0.027008686773478986,-0.0017704472760669888,-0.08502022922039032
