epoch,step,L_total,L_simple,L_joints,L_vel,L_foot,VL_total,VL_simple,VL_joints,VL_vel,VL_foot
1,128,296.7787780761719,197.53924560546875,9907.4296875,0.11732026934623718,0.479394793510437,-,-,-,-,-
1,256,295.55267333984375,196.7332000732422,9867.453125,0.10483711957931519,0.4013419449329376,-,-,-,-,-
1,384,250.9810333251953,167.09298706054688,8371.6728515625,0.1170182004570961,0.5429396629333496,-,-,-,-,-
1,512,325.04425048828125,216.35882568359375,10852.181640625,0.11777742952108383,0.45846977829933167,-,-,-,-,-
1,640,266.0456237792969,177.11940002441406,8876.892578125,0.11085237562656403,0.46479520201683044,287.4345703125,191.33851623535156,9596.533203125,0.0972825288772583,0.3345070779323578
1,768,225.3314208984375,150.03712463378906,7515.56298828125,0.10235974192619324,0.363200843334198,-,-,-,-,-
1,896,263.4745178222656,175.3970947265625,8792.2685546875,0.11724359542131424,0.3751278519630432,-,-,-,-,-
1,1024,221.17822265625,147.27574157714844,7376.3935546875,0.10229100286960602,0.36249226331710815,-,-,-,-,-
1,1152,232.3159637451172,154.6798095703125,7750.13623046875,0.1001666784286499,0.3461482524871826,-,-,-,-,-
1,1280,231.1730499267578,153.91709899902344,7712.06982421875,0.10044968128204346,0.3481014370918274,282.2376708984375,187.87216186523438,9424.4921875,0.09055017679929733,0.30058401823043823
1,1408,235.9930419921875,157.14178466796875,7875.2001953125,0.07543249428272247,0.23824769258499146,-,-,-,-,-
1,1536,234.70785522460938,156.26522827148438,7831.484375,0.0959189385175705,0.3185708820819855,-,-,-,-,-
1,1664,232.95632934570312,155.10519409179688,7773.97119140625,0.08789078146219254,0.23528268933296204,-,-,-,-,-
1,1792,265.2363586425781,176.59271240234375,8856.04296875,0.06378516554832458,0.19451506435871124,-,-,-,-,-
1,1920,282.1013488769531,187.8046417236328,9419.7451171875,0.07649826258420944,0.227727010846138,278.7998046875,185.5951385498047,9311.0205078125,0.07193707674741745,0.22511398792266846
1,2048,232.27862548828125,154.6294708251953,7749.8466796875,0.13047893345355988,0.2022065669298172,-,-,-,-,-
1,2176,260.66412353515625,173.54794311523438,8702.0546875,0.07406971603631973,0.21563325822353363,-,-,-,-,-
1,2304,362.72064208984375,241.38885498046875,12120.0166015625,0.11469963937997818,0.16931548714637756,-,-,-,-,-
1,2432,279.0926818847656,185.8125762939453,9319.3359375,0.06806264817714691,0.1869630217552185,-,-,-,-,-
1,2560,302.21502685546875,201.1796875,10094.3037109375,0.07785240560770035,0.14460843801498413,276.4383239746094,184.0523681640625,9232.2001953125,0.052467286586761475,0.11500014364719391
1,2688,284.78369140625,189.59225463867188,9509.50390625,0.07880506664514542,0.17612195014953613,-,-,-,-,-
1,2816,232.83645629882812,155.07308959960938,7770.82666015625,0.04440520703792572,0.10694802552461624,-,-,-,-,-
1,2944,232.84254455566406,155.06900024414062,7770.86083984375,0.0531189851462841,0.11823403090238571,-,-,-,-,-
1,3072,234.05270385742188,155.88722229003906,7811.0888671875,0.045320719480514526,0.0928318127989769,-,-,-,-,-
1,3200,260.5638427734375,173.51373291015625,8697.96484375,0.0583919920027256,0.12093255668878555,274.62841796875,182.8725128173828,9170.3115234375,0.044648632407188416,0.08157919347286224
1,3328,262.41412353515625,174.7638397216797,8759.048828125,0.05203207582235336,0.07773209363222122,-,-,-,-,-
1,3456,264.5074462890625,176.15155029296875,8830.5439453125,0.041159648448228836,0.09318874776363373,-,-,-,-,-
1,3584,262.3791809082031,174.75088500976562,8758.72265625,0.03467194363474846,0.0640973374247551,-,-,-,-,-
1,3712,268.5404357910156,178.8489990234375,8964.8876953125,0.035298075526952744,0.07248017191886902,-,-,-,-,-
1,3840,267.453125,178.12490844726562,8928.6279296875,0.03516444191336632,0.06784246116876602,273.22161865234375,181.93722534179688,9123.619140625,0.04117385670542717,0.07047824561595917
1,3968,270.38336181640625,180.05923461914062,9027.9365234375,0.03860893473029137,0.061789367347955704,-,-,-,-,-
1,4096,255.7329559326172,170.30914306640625,8537.796875,0.039856988936662674,0.05990161374211311,-,-,-,-,-
1,4224,267.737060546875,178.304443359375,8938.625,0.04044455662369728,0.05954241380095482,-,-,-,-,-
1,4352,248.87159729003906,165.7421112060547,8308.361328125,0.04078077897429466,0.05098242312669754,-,-,-,-,-
1,4480,295.97283935546875,197.0638885498047,9885.8359375,0.04533756151795387,0.052620064467191696,271.8759765625,181.02679443359375,9080.6943359375,0.03638308867812157,0.05861219763755798
1,4608,294.2513122558594,195.90823364257812,9829.0166015625,0.04854709655046463,0.04351785033941269,-,-,-,-,-
1,4736,310.6111145019531,206.79861450195312,10377.375,0.03351403400301933,0.05261470749974251,-,-,-,-,-
1,4864,301.3929443359375,200.66387939453125,10068.51953125,0.0380236953496933,0.058631449937820435,-,-,-,-,-
1,4992,339.4950256347656,226.00808715820312,11343.0263671875,0.051949601620435715,0.04731405898928642,-,-,-,-,-
1,5120,360.3226318359375,239.84202575683594,12040.744140625,0.06782090663909912,0.0537990927696228,270.7442626953125,180.2581787109375,9044.658203125,0.03397088870406151,0.05535220354795456
1,5248,348.3805847167969,231.90127563476562,11642.0966796875,0.0535275973379612,0.048069559037685394,-,-,-,-,-
1,5376,341.05322265625,227.02622985839844,11396.1513671875,0.060222990810871124,0.05292103439569473,-,-,-,-,-
1,5504,466.379150390625,310.3684387207031,15593.2001953125,0.07497277855873108,0.03746744617819786,-,-,-,-,-
1,5632,409.8632507324219,272.79638671875,13702.791015625,0.034780506044626236,0.041821595281362534,-,-,-,-,-
1,5760,361.81695556640625,240.8296661376953,12094.255859375,0.04017553851008415,0.04586120694875717,269.3132629394531,179.29592895507812,8998.05078125,0.03226937726140022,0.045827582478523254
1,5888,440.6460266113281,293.26129150390625,14733.8251953125,0.04238838702440262,0.041029974818229675,-,-,-,-,-
1,6016,371.9888000488281,247.59414672851562,12435.03125,0.03963412344455719,0.04696140065789223,-,-,-,-,-
1,6144,372.0062255859375,247.59832763671875,12436.169921875,0.04140353202819824,0.04806440323591232,-,-,-,-,-
1,6272,445.6869201660156,296.6033935546875,14901.5810546875,0.06365575641393661,0.04073458909988403,-,-,-,-,-
1,6400,456.9624938964844,304.102783203125,15279.7734375,0.057078562676906586,0.04928058758378029,267.84661865234375,178.30848693847656,8950.15625,0.031715456396341324,0.04854700341820717
1,6528,481.7212829589844,320.5670166015625,16108.70703125,0.06333911418914795,0.038726817816495895,-,-,-,-,-
1,6656,449.1011657714844,298.8802795410156,15016.16015625,0.054312653839588165,0.04964947700500488,-,-,-,-,-
1,6784,390.2883605957031,259.7494812011719,13047.9833984375,0.054525282233953476,0.045294757932424545,-,-,-,-,-
1,6912,501.96954345703125,334.0363464355469,16788.064453125,0.04823463410139084,0.04307038336992264,-,-,-,-,-
1,7040,376.35223388671875,250.4984130859375,12581.6181640625,0.03311590477824211,0.04543830081820488,266.3176574707031,177.28836059570312,8899.20703125,0.032658156007528305,0.04582235962152481
1,7168,354.7471008300781,236.12789916992188,11858.3076171875,0.0325784906744957,0.03528088703751564,-,-,-,-,-
1,7296,349.3681640625,232.5362091064453,11678.4814453125,0.0421869270503521,0.04986003413796425,-,-,-,-,-
1,7424,336.9237976074219,224.23973083496094,11263.369140625,0.045422833412885666,0.04968556761741638,-,-,-,-,-
1,7552,311.0251159667969,207.02381896972656,10394.6943359375,0.049399737268686295,0.04949900507926941,-,-,-,-,-
1,7680,268.1873779296875,178.5458221435547,8961.7626953125,0.018843652680516243,0.05082515627145767,264.44903564453125,176.0322723388672,8837.94921875,0.03271244093775749,0.045622892677783966
1,7808,265.19781494140625,176.56954956054688,8860.5048828125,0.018443048000335693,0.048014380037784576,-,-,-,-,-
1,7936,292.576171875,194.7741241455078,9777.556640625,0.021891336888074875,0.04599808156490326,-,-,-,-,-
1,8064,271.0574035644531,180.4524383544922,9057.958984375,0.021089889109134674,0.04263370484113693,-,-,-,-,-
1,8192,285.6098327636719,190.14369201660156,9544.0390625,0.0218659620732069,0.038684602826833725,-,-,-,-,-
1,8320,300.8046569824219,200.2527618408203,10053.0009765625,0.017056841403245926,0.048139169812202454,262.8329772949219,174.94671630859375,8784.5224609375,0.035741280764341354,0.05303487181663513
1,8448,270.3014221191406,179.9619598388672,9032.0771484375,0.014336851425468922,0.04371054843068123,-,-,-,-,-
1,8576,301.9378356933594,201.00596618652344,10091.265625,0.015312092378735542,0.03893953934311867,-,-,-,-,-
1,8704,283.1004638671875,188.47633361816406,9460.720703125,0.013676084578037262,0.03238380327820778,-,-,-,-,-
1,8832,276.9942932128906,184.39715576171875,9257.630859375,0.016536042094230652,0.04297741502523422,-,-,-,-,-
1,8960,263.9090270996094,175.69827270507812,8819.30859375,0.01407645083963871,0.03610915690660477,260.7575378417969,173.56285095214844,8715.7802734375,0.03226732090115547,0.046435337513685226
1,9088,263.4314270019531,175.3730010986328,8803.6015625,0.018137920647859573,0.0430321991443634,-,-,-,-,-
1,9216,259.3578186035156,172.6668701171875,8666.900390625,0.01771111786365509,0.042413096874952316,-,-,-,-,-
1,9344,378.5403137207031,251.9080352783203,12653.7900390625,0.09039760380983353,0.03990131616592407,-,-,-,-,-
1,9472,223.77142333984375,148.9937286376953,7475.04296875,0.02427833154797554,0.029965445399284363,-,-,-,-,-
1,9600,215.9760284423828,143.78225708007812,7216.15185546875,0.029302051290869713,0.02959800511598587,258.6049499511719,172.1282501220703,8644.322265625,0.030596569180488586,0.028806302696466446
1,9728,257.8898620605469,171.6775360107422,8618.5849609375,0.023826850578188896,0.02666373923420906,-,-,-,-,-
1,9856,286.36419677734375,190.6136016845703,9572.083984375,0.02761680819094181,0.021298443898558617,-,-,-,-,-
1,9984,270.6197204589844,180.16619873046875,9042.43359375,0.02683895453810692,0.023688431829214096,-,-,-,-,-
1,10112,233.33441162109375,155.34881591796875,7795.9970703125,0.023343505337834358,0.022826246917247772,-,-,-,-,-
1,10240,256.55694580078125,170.78726196289062,8574.67578125,0.020974600687623024,0.019641650840640068,256.30560302734375,170.59429931640625,8568.0478515625,0.029104681685566902,0.01715526357293129
1,10368,256.7693176269531,170.92413330078125,8582.830078125,0.015113044530153275,0.017745748162269592,-,-,-,-,-
1,10496,253.13198852539062,168.48544311523438,8462.75,0.017492754384875298,0.015585589222609997,-,-,-,-,-
1,10624,252.73753356933594,168.22265625,8448.994140625,0.023341087624430656,0.01598634384572506,-,-,-,-,-
1,10752,252.3162384033203,167.9296875,8434.9453125,0.035766199231147766,0.013306227512657642,-,-,-,-,-
1,10880,271.3883056640625,180.63082885742188,9072.529296875,0.031172560527920723,0.010441194288432598,254.12855529785156,169.14254760742188,8495.7373046875,0.02748009003698826,0.011542999185621738
1,11008,281.0841064453125,187.06434631347656,9399.396484375,0.024412063881754875,0.013640456832945347,-,-,-,-,-
1,11136,271.5099792480469,180.67909240722656,9079.0654296875,0.038759298622608185,0.014917520806193352,-,-,-,-,-
1,11264,279.0362548828125,185.71694946289062,9329.732421875,0.02067681960761547,0.012891439720988274,-,-,-,-,-
1,11392,276.4007263183594,183.9419403076172,9243.728515625,0.02039637602865696,0.011175977997481823,-,-,-,-,-
1,11520,246.54019165039062,164.10494995117188,8241.521484375,0.018675440922379494,0.01349936705082655,251.42202758789062,167.34365844726562,8404.9345703125,0.02792658656835556,0.011032412759959698
1,11648,232.9796905517578,155.08169555664062,7787.68359375,0.020143399015069008,0.010281440801918507,-,-,-,-,-
1,11776,226.7855224609375,150.9498748779297,7581.23095703125,0.02243424765765667,0.009111274965107441,-,-,-,-,-
1,11904,230.25669860839844,153.25732421875,7695.6533203125,0.041983213275671005,0.008764619007706642,-,-,-,-,-
1,12032,240.37457275390625,159.99591064453125,8035.0205078125,0.02753426507115364,0.0093122823163867,-,-,-,-,-
1,12160,265.3701171875,176.6259765625,8871.2587890625,0.03078792802989483,0.007562208455055952,248.56072998046875,165.43638610839844,8309.5810546875,0.027635017409920692,0.009045885875821114
1,12288,259.6949157714844,172.82986450195312,8683.30859375,0.031199699267745018,0.00767360907047987,-,-,-,-,-
1,12416,272.41192626953125,181.28994750976562,9109.029296875,0.030757512897253036,0.009087463840842247,-,-,-,-,-
